        ,	2,	3,	4,	5,	6,	7,	8
$N_{\mathrm{occ}}=2$,	-0.10032752,	-0.38592293,	-0.7844761,	-0.84639594,	-0.36216724,	-0.15744168,	0.00616279
line5,	-0.27361367,	-0.30177518,	-0.17436166,	-0.06893477,	-0.06847618,	-0.07877503,	-0.03406482
$N_{\mathrm{occ}}=4$,	-0.2766278,	-0.22736264,	-0.19500712,	0.00211169,	0.09476171,	-0.07631135,	-0.02019404
line11,	-0.56356112,	-0.17123991,	-0.11557741,	-0.02198402,	-0.04564061,	-0.03438292,	-0.0476136
$N_{\mathrm{occ}}=6$,	-0.53533722,	-0.18961033,	-0.0485934,	-0.13324972,	-0.0259619,	-0.05152645,	-0.01502471
line17,	-0.54072224,	-0.20925424,	-0.07172596,	-0.06054853,	-0.02706709,	-0.03879804,	-0.05188304
$N_{\mathrm{occ}}=8$,	-0.55145515,	0.09316206,	-0.14039544,	-0.08049953,	0.01487112,	0.1359991,	-0.02137482
line23,	-0.88356671,	-0.06791958,	-0.03455399,	-0.00725342,	-0.00467428,	-0.00114617,	-0.00088358
$N_{\mathrm{occ}}=2$ error,	0.0787282,	0.1018827,	0.08268058,	0.08461222,	0.10143687,	0.07972455,	0.06285155
$N_{\mathrm{occ}}=4$ error,	0.04702799,	0.05116747,	0.12675239,	0.12712383,	0.05447235,	0.04720083,	0.04319918
$N_{\mathrm{occ}}=6$ error,	0.02893207,	0.02590484,	0.05289502,	0.02310062,	0.02424639,	0.0239992,	0.02235276
$N_{\mathrm{occ}}=8$ error,	0.02691229,	0.02230469,	0.01975706,	0.01946288,	0.02241153,	0.0210556,	0.02215057
